OPERATIVAS[Nombre Documento],OPERATIVAS[Grupo SOAP],OPERATIVAS[Equipo SOAP],OPERATIVAS[Tipo Documento SOAP],OPERATIVAS[Equipo Mesa Ágil SOAP],OPERATIVAS[Ruta archivo]
INS.OP-0302- Manual trafico discado.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/080623/INS.OP-0302- Manual trafico discado.docx
INS.OP-0304- Manual Diferencia Tapin Y Tapout.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/080623/INS.OP-0304- Manual Diferencia Tapin Y Tapout.docx
INS.OP-0306- Manual Postpago - Reinyección de Tráfico.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/080623/INS.OP-0306- Manual Postpago - Reinyección de Tráfico.docx
INS.OP-0307- Manual Reporte LDI.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/080623/INS.OP-0307- Manual Reporte LDI.docx
MANUAL REINYECCION.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/110823/MANUAL REINYECCION.docx
INS.OP-0308- Manual Request estado 11.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/120623/INS.OP-0308- Manual Request estado 11.docx
INS.OP-0310- Manual Conciliación de facturas CRL.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/120623/INS.OP-0310- Manual Conciliación de facturas CRL.docx
INS.OP-0311- ManualArchivos enviados por SAP pendientes de cargar en BSCS.DOCX,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/120623/INS.OP-0311- ManualArchivos enviados por SAP pendientes de cargar en BSCS.DOCX
INS.OP-0321- Manual Syniverse.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/120623/INS.OP-0321- Manual Syniverse.docx
REPORTE MSSAP-SICAR-PPLS-VENTA CUOTAS.DOCX,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/130623/REPORTE MSSAP-SICAR-PPLS-VENTA CUOTAS.DOCX
ANULACION DE CORRELATIVOS.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/140623/ANULACION DE CORRELATIVOS.docx
INS.OP-0410 VENTAS - Relanzamiento de pedido .docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/140623/INS.OP-0410 VENTAS - Relanzamiento de pedido .docx
Manual  Relanzamiento pedidos  CPD.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/140623/Manual  Relanzamiento pedidos  CPD.docx
PROCESAR TXT_OLO.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/140623/PROCESAR TXT_OLO.docx
RELANZAMIENTO POR SERIE.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/140623/RELANZAMIENTO POR SERIE.docx
4. Informacion -DRAM.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/150623/4. Informacion -DRAM.docx
Relanzamiento de trama PPLS.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/150623/Relanzamiento de trama PPLS.docx
PRO-001-Guía Validacion de Bloqueo.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/160623/PRO-001-Guía Validacion de Bloqueo.docx
PRO-003-Otras programaciones manual.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/160623/PRO-003-Otras programaciones manual.docx
PRO-EJ-0013 Cambio de Plan v5.0.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/160623/PRO-EJ-0013 Cambio de Plan v5.0.docx
PRO-006-Cambio de Plan v4.0-Desalineacion en EOC medio CAMBIO PLAN 22.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/190623/PRO-006-Cambio de Plan v4.0-Desalineacion en EOC medio CAMBIO PLAN 22.docx
PRO-010-MONITOREO AJUSTE CENTIMOS.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/190623/PRO-010-MONITOREO AJUSTE CENTIMOS.docx
PRO-11-MONITOREO RENTAS ADELANTADAS.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/190623/PRO-11-MONITOREO RENTAS ADELANTADAS.docx
PRO-12-MONITOREO VENTA EN CUOTAS.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/190623/PRO-12-MONITOREO VENTA EN CUOTAS.docx
INS.OP-0417 VENTAS - Reporte Renta Adelanta.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/230623/INS.OP-0417 VENTAS - Reporte Renta Adelanta.docx
PRO.EJ-0085- Revisión del Cuadre de Desconocimiento de Titularidad V2.3.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/230623/PRO.EJ-0085- Revisión del Cuadre de Desconocimiento de Titularidad V2.3.docx
PRO-013-Reporte Degradación.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/230623/PRO-013-Reporte Degradación.docx
INS.OP-0438 MEDIACION - REPORTES DE LIQUIDACION DE OPERADORES.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/260623/INS.OP-0438 MEDIACION - REPORTES DE LIQUIDACION DE OPERADORES.docx
INS.OP-0457 POSTVENTA - Malla de Claro Club.doc,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/260623/INS.OP-0457 POSTVENTA - Malla de Claro Club.doc
INS.OP-0480 POSTVENTA - MANUAL  DAJ'S.docx,Operaciones,Sinergia,9.4.1.Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.1.Operativas/260623/INS.OP-0480 POSTVENTA - MANUAL  DAJ'S.docx
INT-000-0026 - [SVA] CLARO VIDEO FIJA_shell.docx,Operaciones,Sinergia,9.4.3.Capacitaciones,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.3.Capacitaciones/1. Capacitacion de claro video/1. Material/INT-000-0026 - [SVA] CLARO VIDEO FIJA_shell.docx
INT-000-0026 - [SVA] CLARO VIDEO MOVIL.pdf,Operaciones,Sinergia,9.4.3.Capacitaciones,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.3.Capacitaciones/1. Capacitacion de claro video/1. Material/INT-000-0026 - [SVA] CLARO VIDEO MOVIL.pdf
INT-000-0026 - [SVA] CLARO VIDEO MOVIL_shell.docx,Operaciones,Sinergia,9.4.3.Capacitaciones,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.3.Capacitaciones/1. Capacitacion de claro video/1. Material/INT-000-0026 - [SVA] CLARO VIDEO MOVIL_shell.docx
INT-000-0026 Integración - [SVA] CLARO VIDEO (1).pdf,Operaciones,Sinergia,9.4.3.Capacitaciones,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.3.Capacitaciones/1. Capacitacion de claro video/1. Material/INT-000-0026 Integración - [SVA] CLARO VIDEO (1).pdf
INT-000-0030- CLARO VIDEO - Masivo.docx,Operaciones,Sinergia,9.4.3.Capacitaciones,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.3.Capacitaciones/1. Capacitacion de claro video/1. Material/INT-000-0030- CLARO VIDEO - Masivo.docx
INT-000-0026 - [SVA] CLARO VIDEO MOVIL (1).PDF,Operaciones,Sinergia,9.4.3.Capacitaciones,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.3.Capacitaciones/2. Transferencia de Integración Claro Video/01. Material/INT-000-0026 - [SVA] CLARO VIDEO MOVIL (1).PDF
INT-000-0027 - [SVA] CLARO VIDEO FIJA.pdf,Operaciones,Sinergia,9.4.3.Capacitaciones,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.3.Capacitaciones/2. Transferencia de Integración Claro Video/01. Material/INT-000-0027 - [SVA] CLARO VIDEO FIJA.pdf
Eliminar temporales Linux.docx,Operaciones,Sinergia,9.4.3.Capacitaciones,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/09. Operaciones/9.04. Sinergia/9.4.3.Capacitaciones/4. Depuracion de servidor procesar txt olo/1. Material/Eliminar temporales Linux.docx
BOSS-PROVI-0001-LIMPIEZA DE UMBRAL FILE SYSTEM.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0001-LIMPIEZA DE UMBRAL FILE SYSTEM.docx
BOSS-PROVI-0002-ALINEACIÓN Y CONSULTA REQUEST.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0002-ALINEACIÓN Y CONSULTA REQUEST.docx
BOSS-PROVI-0003-CONSULTA ELEMENTOS DE RED.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0003-CONSULTA ELEMENTOS DE RED.docx
BOSS-PROVI-0004-ALINEACIÓN EN ELEMENTOS DE RED.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0004-ALINEACIÓN EN ELEMENTOS DE RED.docx
BOSS-PROVI-0005-ALINEACIÓN Y CONSULTA IMEI.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0005-ALINEACIÓN Y CONSULTA IMEI.docx
BOSS-PROVI-0006-ALINEACION CONTINUE.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0006-ALINEACION CONTINUE.docx
BOSS-PROVI-0007-ALINEACION Y CONSULTA LTE.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0007-ALINEACION Y CONSULTA LTE.docx
BOSS-PROVI-0008-ALINEAR CONCILIACIONES.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0008-ALINEAR CONCILIACIONES.docx
BOSS-PROVI-0009-ALINEACIÓN Y CONSULTA BARRING.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0009-ALINEACIÓN Y CONSULTA BARRING.docx
BOSS-PROVI-0010-ALINEACION Y CONSULTA PCRF.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0010-ALINEACION Y CONSULTA PCRF.docx
BOSS-PROVI-0011-ALINEACIÓN DEL QOS PARA APNs PERSONALIZADOS.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0011-ALINEACIÓN DEL QOS PARA APNs PERSONALIZADOS.docx
BOSS-PROVI-0012-ATENCION ROAMING.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0012-ATENCION ROAMING.docx
BOSS-PROVI-0013-CAMBIO Y CONSULTA RC TFI.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0013-CAMBIO Y CONSULTA RC TFI.docx
BOSS-PROVI-0014-CONFIGURAR RANGOSJERARQUIAS.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0014-CONFIGURAR RANGOSJERARQUIAS.docx
"BOSS-PROVI-0015-LEVANTAR STREAMS,NODOS.docx",BOSS,Provisión y Mediación,Documentación,,"https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0015-LEVANTAR STREAMS,NODOS.docx"
BOSS-PROVI-0016-BLOQUEO DESBLOQUEO LDI.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0016-BLOQUEO DESBLOQUEO LDI.docx
BOSS-PROVI-0017-DTH Contego.doc,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0017-DTH Contego.doc
BOSS-PROVI-0018-Crear Linea IFI_LTE 1play.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0018-Crear Linea IFI_LTE 1play.docx
BOSS-PROVI-0019-CREACION LLAVE AUC LTE.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0019-CREACION LLAVE AUC LTE.docx
BOSS-PROVI-0020-Alineación de Topes y Cobertura.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0020-Alineación de Topes y Cobertura.docx
BOSS-PROVI-0021-Bloqueo de lineas.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0021-Bloqueo de lineas.docx
BOSS-PROVI-0022-TFI con barring activo en UDB.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0022-TFI con barring activo en UDB.docx
BOSS-PROVI-0023-Provisión de etiquetas ONE en PCRF.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0023-Provisión de etiquetas ONE en PCRF.docx
BOSS-PROVI-0024-Procedimientos Nintex.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0024-Procedimientos Nintex.docx
BOSS-PROVI-0025-Ejecutar trama XML.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0025-Ejecutar trama XML.docx
BOSS-PROVI-0027-Colocar en estado DUMMY elemento de RED.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0027-Colocar en estado DUMMY elemento de RED.docx
BOSS-PROVI-0028-PVU Altas Migraci¢n Pre a Post vs Provisi¢n Plataformas.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0028-PVU Altas Migraci¢n Pre a Post vs Provisi¢n Plataformas.docx
BOSS-PROVI-0029-Desaprovision en RED.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0029-Desaprovision en RED.docx
BOSS-PROVI-0030-Reactivación MTC.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0030-Reactivación MTC.docx
BOSS-PROVI-0031-Suspensión MTC.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0031-Suspensión MTC.docx
BOSS-PROVI-0032-BloqueoDesbloqueo de LineaEquipo.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0032-BloqueoDesbloqueo de LineaEquipo.docx
BOSS-PROVI-0033-Reposición Cambio de SIM Card V2024.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0033-Reposición Cambio de SIM Card V2024.docx
BOSS-PROVI-0034- Disponibilidad IL_version claro.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0034- Disponibilidad IL_version claro.docx
BOSS-PROVI-0034-Disponibilidad de Instantlink.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/BOSS-PROVI-0034-Disponibilidad de Instantlink.docx
Manual correcion de ancho de banda.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/Desalineación1937_control_ifi_uso_banda/Manual correcion de ancho de banda.docx
Reinicio de servicios errores en WS App Mi Claro.docx,BOSS,Provisión y Mediación,Documentación,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/10. BOSS/10.1. Provisión y Mediación/01. Documentación/01. Operativas/01. Provision/Reinicio de servicios errores en WS App Mi Claro.docx
